work_item_id,title,milestone,status,accountable_role,accountable_person_ref,required_reviewer_roles,prerequisite_ids,size,category,gate_closed,adr_required,evidence_refs,blocking_reason,external_tool_ref,last_status_change_ref
M1,Reconcile the documentation baseline,validated_claim_and_verifier_contract,in_progress,repository maintainer (solo concept),repository-maintainer,maintainer-review,,S,documentation governance,false,conditional,docs/reviews/validated-claim-contract/m1-boundary-record.md;docs/reviews/validated-claim-contract/solo-planning-readiness-record.md#current-disposition;docs/reviews/validated-claim-contract/reconciliation-register.md#downstream-test-interpretation-disposition;docs/reviews/validated-claim-contract/authority-map.md#m1-gate-disposition-and-later-work-hold,,https://github.com/ROCSI-eu/Telemetry-Attestation-Gateway/issues/57,docs/reviews/validated-claim-contract/solo-planning-readiness-record.md#current-disposition
M2,Run paired provider/relying-party discovery,validated_claim_and_verifier_contract,blocked,discovery lead with product owner,,privacy;discovery-method;paired-provider-participant;paired-relying-party-participant;additional-role-by-risk,M1,L,product discovery,false,false,docs/reviews/validated-claim-contract/m2-entry-record.md;docs/reviews/validated-claim-contract/solo-planning-readiness-record.md#current-disposition,prerequisites_not_accepted;milestone_entry_criteria_not_satisfied,https://github.com/ROCSI-eu/Telemetry-Attestation-Gateway/issues/49,
M3,Bound the claim and relying-party decision,validated_claim_and_verifier_contract,blocked,product owner,,relying-party;telemetry;architecture;cryptography;privacy;safety;security,M2,M,product and claim contract,false,conditional,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M4,Freeze draft result and time semantics for testing,validated_claim_and_verifier_contract,blocked,cryptography lead,,architecture;security;product;relying-party;privacy;telemetry;delivery,M1;M3,M,verifier contract,false,true,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M5,Define assurance and disclosure presentation,validated_claim_and_verifier_contract,blocked,security lead with privacy lead,,product;cryptography;safety;telemetry;discovery;relying-party,M2;M3;M4,M,security and privacy contract,false,true,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M6,Specify executable offline policy fixtures,validated_claim_and_verifier_contract,blocked,security lead,,cryptography;architecture;privacy;testing-operations;delivery;relying-party,M4;M5,L,security test infrastructure,false,conditional,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M7,Validate verifier UX and relying-party interpretation,validated_claim_and_verifier_contract,blocked,product owner with discovery lead,,relying-party;accessibility;privacy;security;safety;cryptography;delivery,M2;M4;M5;M6,M,verifier experience and discovery,false,false,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M8,Execute the envelope and vector spike,validated_claim_and_verifier_contract,blocked,architecture lead,,cryptography;security;privacy;telemetry;testing-operations;delivery,M3;M4;M5;M6,L,disposable interoperability spike,false,conditional,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M9,Establish pinned SITL compatibility evidence,validated_claim_and_verifier_contract,blocked,telemetry lead,,architecture;security;safety;cryptography;product;privacy;delivery,M3;M5;M8,L,telemetry compatibility evidence,false,conditional,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M10,Benchmark candidate proof systems,validated_claim_and_verifier_contract,blocked,cryptography lead,,architecture;security;telemetry;privacy;safety;engineering;delivery;relying-party,M4;M8;M9,XL,cryptographic technology decision,false,true,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
M11,Conduct the final stop/go review,validated_claim_and_verifier_contract,blocked,delivery lead,,product;architecture;cryptography;security;privacy;safety;telemetry;discovery;relying-party,M1;M2;M3;M4;M5;M6;M7;M8;M9,M,milestone governance,false,true,,milestone_entry_criteria_not_satisfied;prerequisites_not_accepted,,
